                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.979,                 3.7906,                 4.1379,                0.00283,                0.56429,                0.00683,                0.00192,                 2.4718,                  3.939,                 4.1768,             0.00065217,             0.00065217,             0.00065217
                      2,                 2.6992,                 3.1565,                 3.4606,                0.00311,                0.54557,                0.01791,                0.00443,                 2.5533,                 3.9672,                 4.2675,              0.0012927,              0.0012927,              0.0012927
                      3,                 2.1528,                 2.1962,                 2.7184,                0.54251,                0.58052,                0.57947,                0.38843,                 1.6041,                 2.8074,                 2.5476,              0.0019069,              0.0019069,              0.0019069
                      4,                 1.5552,                 1.5947,                 2.1612,                0.77533,                0.62469,                 0.7221,                0.50273,                 1.4527,                 2.1169,                 2.1535,              0.0018812,              0.0018812,              0.0018812
                      5,                  1.294,                 1.2194,                  1.856,                0.94486,                0.81898,                0.93163,                0.70677,                 1.1035,                 1.6565,                 1.8838,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.0877,                 1.0396,                 1.6454,                0.97438,                0.80729,                0.91267,                0.68324,                 1.0844,                 1.3182,                 1.8151,               0.001802,               0.001802,               0.001802
                      7,                0.98031,                0.90078,                  1.546,                 0.9573,                0.94382,                0.98458,                0.81732,                 0.7676,                0.84723,                 1.5117,              0.0017624,              0.0017624,              0.0017624
                      8,                0.86527,                0.75919,                 1.4497,                0.92325,                0.93111,                0.97237,                0.80724,                0.83226,                0.79109,                 1.5076,              0.0017228,              0.0017228,              0.0017228
                      9,                0.83891,                0.73816,                 1.4263,                0.96631,                0.96689,                0.99087,                0.83762,                0.70517,                 0.6413,                 1.3952,              0.0016832,              0.0016832,              0.0016832
                     10,                0.76817,                0.68019,                 1.3604,                0.95953,                0.96754,                0.99157,                0.88429,                 0.6108,                0.55892,                 1.3107,              0.0016436,              0.0016436,              0.0016436
                     11,                0.73163,                 0.6231,                 1.3321,                0.98938,                0.98127,                0.99441,                0.87481,                0.63452,                0.56054,                 1.3005,               0.001604,               0.001604,               0.001604
                     12,                0.69415,                0.59629,                 1.2756,                0.99272,                0.98127,                 0.9947,                0.87605,                0.61186,                0.52762,                 1.2448,              0.0015644,              0.0015644,              0.0015644
                     13,                0.65789,                0.55533,                 1.2472,                0.99409,                0.98127,                0.99443,                 0.9149,                0.52534,                0.50401,                 1.2117,              0.0015248,              0.0015248,              0.0015248
                     14,                0.62303,                0.52036,                 1.1992,                0.97613,                0.98127,                 0.9942,                0.92314,                0.49132,                 0.4275,                 1.1653,              0.0014852,              0.0014852,              0.0014852
                     15,                0.60082,                0.50605,                 1.1995,                0.99162,                0.97004,                0.99402,                0.92239,                 0.4929,                0.44836,                 1.1692,              0.0014456,              0.0014456,              0.0014456
                     16,                0.55394,                0.48164,                 1.1631,                0.98123,                0.98502,                0.99454,                 0.9371,                0.44792,                0.40271,                 1.1562,               0.001406,               0.001406,               0.001406
